ENROLLMENT_ID,PROBLEM,VIDEO,ACCESS1,WIKI,DISCUSSION,PAGE_CLOSE,NAVIGATE,LABLE
592,10,0,107,1,4,68,31,0
594,87,26,161,2,44,75,32,0
598,0,10,96,0,0,18,8,0
599,31,14,104,2,1,8,32,0
600,6,4,66,0,0,14,18,1
602,2,2,92,0,3,1,9,1
603,0,0,0,0,0,0,2,1
606,45,149,299,5,4,248,68,0
609,6,12,36,1,0,24,11,0
611,26,11,65,1,22,30,25,0
612,2,1,65,2,2,7,16,0
613,6,4,43,1,1,8,15,1
614,15,0,6,0,0,1,3,1
615,41,19,67,0,0,40,23,0
616,0,2,18,0,0,3,3,1
617,21,2,23,0,0,1,6,0
620,0,1,7,0,1,1,9,1
621,4,13,37,8,0,11,23,1
625,39,25,109,0,1,38,25,0
627,0,6,10,2,0,8,7,0
629,8,5,34,3,2,6,15,1
630,0,0,49,0,1,6,10,1
633,6,14,57,0,0,22,10,1
634,31,23,172,5,23,89,50,0
635,86,15,53,0,0,25,10,0
636,27,7,94,11,78,50,65,1
638,28,43,117,1,1,82,55,0
639,69,39,130,1,17,88,37,0
643,2,30,80,0,0,21,8,1
644,0,1,17,0,2,1,5,1
645,6,1,27,0,0,2,6,1
646,2,4,37,0,0,4,6,0
650,0,0,115,0,0,71,10,0
652,4,13,28,1,1,24,14,1
654,9,27,56,0,9,42,22,0
658,33,17,111,50,92,28,39,1
659,13,12,41,1,0,28,18,1
660,27,19,78,0,0,42,13,0
661,15,16,40,1,1,33,14,0
662,49,4,105,0,0,4,7,0
663,15,7,80,0,0,7,16,0
667,0,0,0,0,0,0,1,1
668,0,1,2,0,0,0,3,1
673,22,0,41,0,0,2,12,0
676,40,1,43,1,1,5,12,0
677,54,33,301,4,42,126,73,0
680,7,16,36,1,1,29,16,1
682,9,21,70,1,3,42,30,0
683,10,7,18,0,0,10,8,0
685,2,1,48,1,15,1,14,1
686,0,0,0,0,0,0,1,1
687,21,11,64,1,26,13,25,0
689,7,0,4,0,0,0,5,1
690,30,53,157,3,5,74,27,0
691,8,6,53,0,0,3,15,0
692,35,19,134,0,0,105,27,0
693,86,65,172,1,0,115,36,0
695,10,5,82,0,0,10,24,0
697,53,0,33,0,0,0,20,0
699,2,0,16,0,9,9,6,0
700,0,0,2,0,0,1,2,1
701,0,17,31,0,0,24,10,0
703,20,29,85,0,2,48,23,0
704,14,20,76,2,1,50,22,1
705,0,2,10,0,0,2,5,0
707,0,32,63,0,0,46,10,1
709,25,24,96,1,3,61,26,0
711,36,21,100,1,5,43,31,0
712,0,0,4,0,0,0,2,1
713,0,0,0,0,0,0,1,1
714,20,15,62,1,23,43,15,0
715,16,10,81,1,17,55,19,0
717,47,2,201,4,33,33,53,0
718,31,6,174,1,30,8,55,0
719,0,1,2,0,0,1,2,1
721,0,0,0,0,0,0,1,1
722,0,1,3,0,0,2,2,1
723,0,1,4,0,0,2,5,1
724,0,0,0,0,0,0,5,1
725,2,0,24,1,11,0,14,1
726,24,9,63,1,4,8,16,0
727,12,0,29,0,2,5,8,0
728,17,4,116,0,10,3,13,0
730,52,33,196,2,18,83,38,0
731,0,0,0,0,0,0,1,1
733,0,6,42,1,2,23,12,0
734,6,44,88,0,0,76,12,1
736,2,25,58,0,0,35,19,0
738,8,21,64,3,4,33,20,1
740,37,39,72,0,1,54,18,1
742,11,48,129,0,5,89,38,0
743,0,1,9,0,2,4,11,1
744,0,4,9,0,0,4,2,1
745,0,0,5,0,0,1,5,1
746,0,23,52,0,0,33,10,0
749,85,60,287,1,0,126,57,0
750,12,19,23,2,1,22,5,0
751,48,13,184,1,34,73,45,0
752,27,2,50,0,32,39,12,0
753,0,0,0,0,0,0,4,1
756,0,0,0,0,0,0,1,1
757,80,40,84,1,0,53,23,0
758,32,20,81,0,0,41,13,0
760,25,4,83,1,0,8,22,0
761,26,43,316,1,134,108,67,0
762,0,2,9,0,0,2,3,1
763,21,19,55,0,0,37,14,1
768,0,0,0,0,0,0,1,0
769,19,30,163,0,0,52,24,1
771,19,0,19,0,0,0,7,1
773,0,1,5,1,1,2,13,1
774,8,36,292,6,26,171,93,0
775,43,30,107,2,44,67,25,0
777,135,142,345,1,77,156,99,0
778,49,21,71,1,30,49,15,0
780,82,62,206,4,18,81,44,1
781,27,8,61,2,30,26,15,0
783,28,2,52,2,92,18,33,0
785,0,2,10,0,0,3,9,0
788,28,18,70,0,0,35,17,0
789,51,28,53,2,2,38,41,0
790,50,1,84,1,0,2,20,0
791,12,25,61,0,12,45,10,0
792,14,0,25,2,6,20,11,1
793,0,0,0,0,0,0,1,1
796,0,0,0,0,0,0,2,1
797,0,0,0,0,0,0,1,1
799,16,37,175,7,179,101,78,0
800,0,4,5,0,1,4,5,1
802,27,40,129,0,0,55,13,1
803,0,1,8,0,1,1,9,1
804,0,0,0,0,0,0,2,1
805,23,5,42,0,13,21,10,0
806,0,10,40,0,0,12,5,1
809,24,13,125,1,5,5,10,0
810,8,7,72,1,2,24,18,1
815,13,15,74,0,0,34,24,0
818,0,1,4,0,0,1,2,1
819,0,12,17,0,0,14,3,1
820,13,0,54,6,43,33,28,0
821,34,33,112,0,1,68,40,0
822,0,0,0,0,0,0,2,1
824,0,16,45,0,0,21,7,0
825,36,41,138,1,1,63,29,0
827,13,2,52,2,1,1,13,0
830,0,1,3,0,0,2,2,1
833,19,0,7,0,0,0,6,1
835,38,61,203,2,51,138,55,0
837,38,26,69,0,0,10,10,0
838,0,0,0,0,0,0,1,1
839,0,0,1,0,0,0,4,1
840,26,31,106,2,4,73,33,0
841,0,0,0,0,0,0,1,1
843,0,0,0,0,0,0,1,1
844,0,9,15,0,0,11,3,0
845,0,0,0,0,0,0,1,1
848,46,16,37,0,14,28,14,1
850,0,0,0,0,0,0,2,0
852,57,13,150,3,5,41,30,0
853,24,22,101,1,49,75,36,0
854,0,0,0,0,0,0,1,1
858,12,13,122,1,4,25,15,0
860,20,18,44,0,0,28,18,0
861,6,3,17,0,1,3,4,0
862,14,20,175,1,3,50,21,0
863,19,31,75,7,5,50,22,0
865,19,33,81,0,0,57,19,0
868,9,3,66,15,195,6,34,1
870,20,15,79,4,12,59,22,0
871,4,8,44,0,0,13,13,1
872,22,21,63,0,6,46,25,0
873,0,0,0,0,0,0,1,0
875,55,4,108,0,8,5,21,0
877,0,0,4,0,0,1,5,1
878,48,2,65,3,9,3,30,1
882,22,107,214,2,4,146,90,1
884,212,48,180,0,0,59,26,0
885,78,43,219,1,32,98,74,0
887,39,1,95,0,0,3,29,0
888,0,6,25,1,1,2,7,1
890,2,0,45,0,12,3,16,0
891,6,26,52,0,0,39,15,0
893,0,2,10,0,0,3,10,1
895,22,3,108,0,7,5,30,0
899,39,11,124,3,25,11,50,0
900,0,0,10,0,0,8,7,1
901,24,11,34,1,4,24,31,1
903,55,35,102,0,2,72,9,0
904,0,0,10,1,3,0,16,1
906,57,32,70,0,0,49,14,0
907,18,3,52,2,24,5,15,0
911,36,26,94,2,22,64,18,0
912,8,34,53,0,1,44,43,0
916,21,39,67,1,0,56,5,0
917,36,3,112,10,470,12,107,0
919,0,2,11,1,2,8,12,1
921,37,19,98,0,0,56,34,0
922,54,44,168,0,0,129,10,0
923,20,2,99,0,30,8,31,0
924,28,3,81,4,27,3,24,0
925,4,20,41,0,0,31,2,1
930,2,1,45,0,0,1,18,1
933,16,12,276,9,35,161,83,0
935,0,3,4,0,0,4,7,1
936,95,46,352,0,18,100,39,1
937,160,32,266,0,29,79,25,0
938,0,6,8,0,0,6,1,1
939,20,35,126,2,24,64,13,0
940,87,43,259,7,27,161,53,0
941,22,21,70,1,5,34,16,0
942,0,0,0,0,0,0,2,1
945,33,34,168,0,0,50,15,0
946,26,1,23,0,0,7,13,0
950,0,2,5,0,0,3,5,1
951,12,37,119,3,68,71,43,0
952,0,0,0,0,0,0,1,1
953,0,9,58,1,28,24,23,0
954,0,16,53,0,0,28,13,0
955,61,39,152,8,42,101,42,0
956,0,0,0,0,0,0,1,1
958,2,10,34,1,2,22,14,1
960,0,0,5,0,0,0,6,1
961,0,1,2,0,0,1,3,1
962,4,0,12,0,0,1,2,0
963,32,0,149,46,0,3,22,0
964,2,20,45,0,0,33,15,1
965,79,7,184,1,13,26,22,0
966,0,2,11,1,2,1,8,1
967,0,19,61,0,1,35,9,0
970,12,29,108,0,0,75,29,1
971,30,30,96,9,79,65,34,0
974,16,3,31,1,0,5,12,0
976,30,25,89,2,9,50,31,0
978,21,10,215,0,0,21,25,0
980,42,15,50,0,0,17,7,0
984,8,23,31,0,0,27,4,0
985,19,7,318,3,8,42,97,0
987,54,38,72,0,0,22,27,0
988,22,68,108,0,16,97,10,0
989,6,12,40,0,11,20,6,0
991,0,10,26,0,0,12,3,0
992,0,0,19,0,0,0,3,1
994,33,38,197,2,0,89,18,0
996,2,14,55,0,0,28,18,1
997,58,19,75,11,74,25,88,0
999,0,0,4,0,0,2,5,1
1000,94,75,211,4,22,155,40,0
1001,31,31,165,1,2,98,37,0
1002,0,0,0,0,0,0,2,1
1005,28,15,57,0,1,39,23,0
1006,6,9,47,0,1,17,7,0
1007,45,22,86,1,2,51,21,0
1008,20,1,36,0,1,13,13,0
1011,17,3,46,0,4,5,17,0
1015,10,11,45,2,0,29,12,1
1018,38,77,154,0,0,91,13,0
1019,33,48,182,2,7,93,45,0
1020,52,20,134,3,23,62,37,0
1021,10,6,67,0,3,45,30,0
1022,4,8,14,0,0,10,1,1
1023,0,0,0,0,0,0,1,1
1024,57,41,114,0,2,61,14,0
1028,89,41,148,1,6,104,40,0
1029,17,4,112,0,0,11,39,0
1030,7,76,272,1,292,135,46,0
1031,0,0,7,0,0,2,5,1
1033,27,0,84,2,3,0,31,0
1035,20,1,59,1,10,37,29,0
1037,27,21,54,5,34,37,25,0
1040,25,10,94,0,0,10,22,0
1041,17,47,174,1,5,54,42,0
1043,0,15,23,0,0,18,8,0
1044,62,5,32,0,7,2,8,1
1045,0,2,6,0,0,2,7,0
1046,8,0,5,0,0,0,2,1
1049,0,0,34,0,0,0,6,1
1050,67,5,124,3,5,7,44,0
1052,0,0,0,0,0,0,1,1
1054,66,18,77,0,12,51,17,0
1056,26,6,69,4,97,8,30,0
1057,8,14,23,0,0,19,8,0
1058,20,2,63,4,0,1,10,0
1065,27,19,93,1,1,50,10,0
1066,10,19,44,7,24,35,14,0
1069,17,5,107,2,5,25,43,0
1072,0,0,0,0,0,0,2,1
1073,0,6,12,0,0,9,5,1
1074,10,30,69,2,2,54,10,0
1075,10,11,35,0,0,22,13,0
1076,9,19,59,0,3,37,6,1
1077,93,4,311,2,5,16,87,0
1078,59,33,110,8,9,73,52,0
1080,23,31,142,0,0,75,21,0
1082,21,0,32,0,0,3,8,0
1084,20,21,49,0,9,42,18,1
1085,49,23,124,2,1,66,34,0
1086,13,19,70,2,3,42,31,0
1087,23,2,55,0,8,23,25,0
1088,0,7,19,0,0,8,21,1
1089,39,1,193,1,15,1,42,0
1090,141,22,120,0,4,40,14,1
1091,10,34,91,0,0,60,21,0
1092,7,20,72,2,6,42,6,1
1095,29,39,83,1,8,60,31,0
1096,46,8,100,0,2,19,21,0
1098,16,12,96,1,33,18,16,0
1099,57,111,201,2,46,60,41,0
1101,74,4,152,2,10,34,56,0
1103,19,2,41,1,15,2,13,1
1107,0,0,0,0,0,0,4,1
1108,28,24,134,12,19,38,27,1
1110,12,4,67,0,0,14,8,0
1112,25,2,105,7,5,5,41,1
1116,53,66,285,7,121,183,83,0
1118,8,14,66,0,0,25,5,1
1124,29,16,45,0,0,38,7,0
1126,0,7,13,1,0,11,4,0
1128,11,83,261,2,4,131,33,1
1129,26,17,26,0,0,23,5,0
1131,18,0,46,1,16,29,23,0
1133,76,51,135,0,2,53,30,0
1134,26,23,81,0,6,29,24,1
1135,0,16,62,0,0,25,5,0
1136,0,0,7,0,0,1,1,1
1137,70,46,165,4,6,92,29,0
1138,48,10,95,0,0,18,13,0
1139,36,18,57,15,42,39,50,0
1140,12,19,54,1,7,38,17,1
1141,10,24,66,1,1,54,28,0
1142,51,29,91,1,5,46,35,1
1143,20,0,41,0,0,2,16,1
1144,58,49,140,2,2,95,22,0
1145,23,5,54,0,2,37,11,0
1147,208,54,224,1,97,86,34,0
1149,17,19,37,0,0,30,12,1
1150,48,63,179,8,118,127,63,0
1153,0,0,4,0,0,1,2,1
1154,20,10,52,2,19,34,30,1
1158,0,0,0,0,0,0,5,0
1162,0,1,25,1,0,1,15,0
1163,0,15,111,1,29,21,61,0
1164,0,0,5,0,0,0,3,1
1167,45,53,121,1,4,84,17,0
1168,1,8,21,0,3,14,6,1
1169,66,31,111,0,0,64,31,0
1170,30,44,103,0,7,78,21,0
1172,22,17,64,0,32,33,7,0
1174,6,10,85,0,2,12,35,0
1176,0,0,0,0,0,0,1,1
1177,0,0,0,0,0,0,2,1
1178,8,3,24,0,0,17,7,0
1179,22,30,95,0,1,12,6,1
1180,0,0,0,0,0,0,2,1
1181,0,0,20,0,5,2,4,1
1182,49,9,203,1,395,113,97,0
1183,21,32,99,17,26,65,29,1
1185,106,21,184,0,57,117,109,0
1186,0,4,17,0,0,9,8,1
1187,2,13,25,1,0,21,11,1
1188,0,7,19,0,1,13,7,1
1190,12,0,24,1,1,7,20,0
1191,22,4,27,0,0,16,6,0
1192,15,14,112,0,2,32,23,0
1195,23,17,39,0,4,27,26,0
1196,5,20,119,0,13,60,38,0
1199,0,0,0,0,0,0,2,1
1201,0,0,0,0,0,0,1,1
1202,41,0,88,0,0,53,26,0
1203,35,6,75,0,0,18,20,0
1204,0,0,2,0,0,0,3,1
1206,44,21,97,0,2,45,12,1
1212,50,4,117,1,33,9,33,0
1213,10,1,20,0,0,16,9,0
1216,77,54,222,0,0,92,33,0
1222,0,2,16,0,0,2,8,1
1223,195,43,151,3,17,71,33,0
1225,24,2,37,1,8,20,8,1
1227,58,21,73,0,0,5,32,0
1228,10,1,20,1,2,10,26,1
1230,23,29,84,1,8,49,25,0
1233,0,1,7,0,0,1,4,1
1235,2,9,23,0,0,18,7,1
1240,4,1,25,0,0,2,6,1
1241,14,5,38,0,0,18,13,0
1243,40,33,72,0,0,52,8,0
1244,0,4,8,0,0,6,4,1
1246,0,1,16,0,0,1,2,0
1248,43,32,111,0,1,68,17,1
1249,0,1,2,1,1,0,7,1
1250,1,2,22,1,44,2,12,1
1252,179,60,376,0,98,93,47,0
1253,1,10,82,0,1,10,21,1
1255,0,1,3,0,0,1,2,1
1257,31,9,67,0,0,10,25,0
1258,65,4,99,0,0,4,2,0
1260,146,78,467,7,89,138,51,0
1263,22,41,69,2,31,52,38,0
1264,78,8,163,2,5,10,110,0
1268,7,10,63,0,0,35,11,0
1269,0,0,3,0,0,1,2,1
1270,11,11,37,0,3,26,30,1
1271,0,1,6,0,0,5,2,1
1273,0,0,0,0,0,0,1,0
1274,0,0,2,0,0,0,2,1
1278,57,15,113,4,9,74,66,0
1280,3,15,52,0,0,32,12,1
